Lead ID,Name,Role,Industry,Posts Engaged,Connections,Engagement Rate,Recent Activity
27,Tim Wright,Marketing Operations Manager,Human Resources (HR),19.8,921,0.2,Active
28,Jasmine Campbell,Certified lifeguard,Public Relations (PR),10.1,557,0.49,Inactive
29,Hannah Gibson,Health Informaticist,Customer service,12.2,205,0.23,Inactive
30,Jane Vance,Reporter,Facilities,22.4,1430,0.18,Inactive
31,Trevor Parr,School Counselor,Hospitality,17.5,120,0.56,Inactive
32,Harry Pullman,Account Director,Hospitality,7.4,1707,0.41,Active
33,Ella Paterson,Program Manager,Customer service,15.1,1235,0.17,Inactive
34,Frank King,Solution architect,Hospitality,11.5,121,0.14,Inactive
35,Sarah Tucker,Client Relations Manager,Educator & Education,9.7,1155,0.5,Active
36,Sarah Welch,Talent Acquisition Coordinator,Logistics,19.4,257,0.37,Active
37,Neil Edmunds,Inventory Clerk,Healthcare,8.2,1372,0.41,Inactive
38,Colin Stewart,Vice President (VP) of Marketing,Human Resources (HR),8.6,360,0.14,Inactive
39,Mary Arnold,Charge Nurse,Finance,12.0,1130,0.58,Inactive
40,Felicity Nash,Purchasing Officer,Hospitality,16.6,495,0.46,Active
41,Charles Fisher,Receptionist,Administrative,17.4,447,0.35,Active
42,Nathan Taylor,Counseling Psychology,Educator & Education,17.4,1453,0.37,Active
43,Keith Hart,Kindergarten Teacher,Construction,14.9,389,0.33,Active
44,Andrew Avery,Senior HR Manager,Sales,15.7,378,0.53,Active
45,Amy Paige,Room Attendant,Human Resources (HR),16.8,1456,0.17,Inactive
46,Edward Pullman,Social Media Analyst,Real estate,11.5,793,0.33,Inactive
47,Una Forsyth,Mover,Corporate training,21.7,194,0.44,Active
48,Andrea Greene,Chef de Partie,Production,20.5,1475,0.35,Inactive
49,Jennifer Reid,Warehouse Worker,IT and Development,11.3,519,0.39,Active
50,Sonia Turner,Occupational Therapist Assistant,IT and Development,10.2,927,0.57,Active
51,Sean Gibson,Chef de Partie,Construction,12.6,880,0.57,Active
52,Vanessa Bell,Finance Clerk,Administrative,18.8,1242,0.51,Inactive
53,Audrey Paige,Sales Enablement Associate,Administrative,13.6,506,0.17,Active
54,Amanda McDonald,Office Assistant,Sales,13.3,939,0.38,Inactive
55,Liam Gray,Marketing Analyst,Production,15.9,1450,0.52,Inactive
56,Christopher Thomson,Night Auditor,Design,16.2,570,0.43,Inactive
57,Abigail Chapman,Account Director,Educator & Education,10.7,1554,0.22,Active
58,Blake Hamilton,Preloader UPS Specialist,Law enforcement / Security,18.9,1327,0.52,Inactive
59,Harry Glover,Account Director,Engineering,22.3,1323,0.17,Active
60,Leah Mackenzie,Inside Sales Manager,Accounting,16.4,160,0.47,Active
61,Jasmine Fisher,HRIS Administrator,Logistics,20.4,278,0.51,Inactive
62,Virginia Gill,Psychiatrist,Sales,13.3,1481,0.33,Active
63,Christian Blake,Retail Sales Representative,Facilities,13.7,157,0.11,Active
64,Jacob Randall,Marketing Coordinator,Design,21.5,1718,0.56,Active
65,Felicity Wilkins,Portfolio Manager,Human Resources (HR),10.3,1278,0.23,Active
66,Zoe Paterson,Quality Engineer,Customer service,13.4,1589,0.5,Inactive
67,Katherine Chapman,Transportation Manager,Educator & Education,13.7,540,0.2,Inactive
68,Leonard Buckland,Staff Writer,Retail,18.7,1357,0.23,Active
69,Justin Gill,Benefits Administrator,Healthcare,17.0,1440,0.14,Inactive
70,Colin Vance,Senior Backend Engineer,Media,13.3,1781,0.15,Active
71,Adam Hardacre,Fundraiser,Finance,14.9,1701,0.12,Inactive
72,Molly May,Cost Accountant,Administrative,7.2,1303,0.32,Inactive
73,Leonard Turner,Kitchen Manager,Travel & Tourism,8.9,393,0.31,Inactive
74,Natalie Anderson,Brexit Project Manager,Hospitality,14.9,1403,0.23,Active
75,Alison Bond,Field Service Representative,Marketing,18.2,562,0.32,Active
76,Megan Vance,Talent Acquisition Manager,Hospitality,11.5,906,0.12,Active
77,Jennifer Hudson,Insurance Sales Representative,Corporate training,18.0,1362,0.23,Active
78,Adam Buckland,Operations Manager,Marketing,11.0,1173,0.14,Active
79,Gabrielle Parsons,Beauty Advisor,Sales,11.4,1770,0.27,Inactive
80,Oliver Gibson,Product Copywriter,Hospitality,21.9,105,0.19,Active
81,Wendy Nash,Inside Sales Director,Retail,17.4,750,0.38,Active
82,Robert Hodges,GDPR Data Protection Officer,Corporate training,11.6,1233,0.47,Inactive
83,Sebastian Paige,Enterprise Account Executive,Travel & Tourism,10.8,1804,0.58,Inactive
84,Joan Ross,Campus Recruiter,Construction,16.7,1606,0.37,Active
85,William Simpson,Senior Network Engineer,Logistics,19.3,586,0.24,Active
86,Richard White,Program Specialist,Construction,15.6,1850,0.11,Active
87,Ian Slater,Event Planner,Pharmaceuticals,14.9,844,0.17,Inactive
88,Jan Black,Zoologist,Public Relations (PR),23.9,1739,0.53,Inactive
89,Joshua Johnston,Construction Worker,Real estate,19.6,133,0.11,Active
90,Thomas Poole,Desktop Support Engineer,Engineering,20.2,1713,0.23,Active
91,Ruth Mills,Senior Data Engineer,Human Resources (HR),11.7,1224,0.13,Active
92,Elizabeth Watson,Senior Account Executive,Corporate training,21.6,319,0.25,Inactive
93,Heather Rutherford,Help Desk Manager,Sales,21.6,641,0.38,Inactive
94,Trevor Hudson,Marketing Coordinator,Public Relations (PR),14.7,1622,0.29,Inactive
95,Tracey Skinner,Operations Associate,Customer service,20.1,1674,0.31,Active
96,Yvonne Underwood,Medical Secretary,Retail,7.0,1340,0.57,Active
97,Amelia Ball,Pantry Cook,Public Relations (PR),16.4,1659,0.48,Active
98,Adrian Watson,Media Planner,Public Relations (PR),8.4,1869,0.26,Active
99,Steven Scott,Sales Engineer,Sales,17.9,430,0.31,Active
100,Liam Jones,Radiology Technician,IT and Development,18.1,1050,0.11,Active
101,Paul Ross,Business Manager,Finance,22.5,1041,0.44,Inactive
102,Edward Randall,Restaurant Assistant Manager,IT and Development,24.2,180,0.47,Active
103,Lauren Roberts,Prompt Engineer,Educator & Education,9.6,376,0.45,Active
104,Samantha Marshall,Hotel Maintenance Manager,Legal,19.8,1050,0.13,Inactive
105,Harry Turner,Copy Editor,Corporate training,12.9,432,0.31,Active
106,Dan Sharp,Social Media Strategist,Accounting,12.4,1077,0.39,Inactive
107,Emma Chapman,Account Officer,Public Relations (PR),21.3,1474,0.55,Inactive
108,Sean Peters,Airline Pilot,Healthcare,16.8,210,0.39,Active
109,Mary Rampling,Benefits Administrator,Educator & Education,19.7,1025,0.1,Inactive
110,Amelia Fraser,Engineering Manager,Design,24.8,301,0.19,Inactive
111,Dominic Robertson,Insurance Broker,Marketing,9.0,1201,0.4,Active
112,Karen Bond,Millwright,Engineering,13.6,1077,0.11,Inactive
113,Lillian Simpson,Chief Human Resources Officer (CHRO),Media,10.7,1411,0.21,Active
114,Chloe Hudson,Shop Foreman,Engineering,23.7,760,0.21,Active
115,Amelia Piper,Car Salesman,Legal,10.6,1964,0.2,Active
116,Warren Simpson,Senior Software Engineer,Facilities,12.6,1536,0.11,Inactive
117,Samantha Howard,Social Media Advertising Administrator,Travel & Tourism,20.6,372,0.22,Active
118,Ella Newman,Corporate Attorney,Customer service,20.7,678,0.56,Active
119,Andrea Lawrence,Accounts Receivable Manager,Real estate,22.9,921,0.37,Inactive
120,Virginia Miller,Medical Scribe,Educator & Education,14.5,1097,0.42,Active
121,Anthony Hardacre,Inbound Marketing Specialist,Design,7.3,1646,0.28,Inactive
122,Maria Dowd,Landscaper,Real estate,16.0,896,0.19,Active
123,Peter Davidson,CFO,Public Relations (PR),10.9,1664,0.16,Active
124,Diana Hemmings,Marketing Events Coordinator,Public Relations (PR),18.1,1329,0.37,Active
125,Theresa McGrath,Car Salesman,Accounting,14.4,234,0.46,Active
126,Thomas Arnold,Accounts Receivable Manager,Accounting,16.6,1811,0.16,Active
127,Pippa Baker,Roofer,Logistics,17.7,1033,0.27,Inactive
128,Hannah Murray,Chemical Engineer,Facilities,13.0,1961,0.18,Inactive
129,Tim Ferguson,Bakery Clerk,Healthcare,12.7,594,0.5,Active
130,Pippa Mackenzie,Technical Recruiter,Travel & Tourism,21.3,177,0.26,Inactive
131,Sebastian Watson,Talent Acquisition Consultant,Corporate training,12.0,213,0.15,Inactive
132,Theresa Stewart,Cyber Security Specialist,Corporate training,8.5,1544,0.28,Inactive
133,Ella Roberts,CNA,Travel & Tourism,18.2,1420,0.43,Inactive
134,Anne Hodges,Attorney General,Marketing,20.3,1855,0.46,Inactive
135,Matt Bailey,Nuclear engineer,IT and Development,18.4,1809,0.58,Inactive
136,Samantha Ogden,Document Controller,Human Resources (HR),6.6,1211,0.52,Active
137,Gavin Anderson,Human Resources (HR) Manager,Administrative,15.9,1541,0.27,Inactive
138,Megan Burgess,Forensic Anthropologists,Retail,11.8,1299,0.59,Inactive
139,Maria Langdon,Busser,Corporate training,6.5,840,0.35,Active
140,Faith Randall,Patient Coordinator,Hospitality,5.5,1525,0.55,Active
141,Amelia Gray,Assistant Account Executive,Sales,6.2,1669,0.53,Inactive
142,Zoe Hodges,Commercial Contracts Attorney,Logistics,12.5,1066,0.6,Inactive
143,Sebastian Ball,Branch Manager,Travel & Tourism,17.0,1183,0.55,Inactive
144,Lily Howard,Nurse Manager,Facilities,10.4,487,0.31,Active
145,Jane Mills,Janitor,Real estate,5.6,283,0.21,Inactive
146,Michelle Parsons,Supervisor,Engineering,16.7,581,0.34,Inactive
147,Jake Nash,Senior Software Developer,Administrative,19.3,1109,0.37,Active
148,Jack Clark,IT Administrator,Hospitality,8.5,225,0.57,Active
149,Carl Mackay,File Clerk,Retail,14.7,1372,0.28,Active
150,Gavin Fisher,Sales Enablement Associate,Real estate,20.5,1909,0.39,Active
151,Claire Mitchell,Restaurant Server,Logistics,11.0,282,0.15,Active
152,Gabrielle May,Data Manager,Pharmaceuticals,18.4,415,0.4,Active
153,Megan Lambert,Law Clerk,Retail,18.7,1058,0.4,Inactive
154,Christopher McDonald,Respiratory Therapist,Travel & Tourism,23.7,1357,0.4,Active
155,Liam Ellison,Cyber Security Specialist,Pharmaceuticals,16.5,565,0.24,Active
156,Jake Poole,Rails Developer,Travel & Tourism,23.8,1515,0.11,Active
157,Sue Sharp,Esthetician,Marketing,20.2,784,0.37,Active
158,Ella Morgan,Associate Brand Manager,Sales,20.2,1932,0.57,Active
159,Joe Simpson,Entrepreneurs,Hospitality,22.4,111,0.12,Inactive
160,Adam King,Stocker,Administrative,16.9,123,0.51,Active
161,Ella Mackay,IT Consultant,Design,19.0,1196,0.54,Inactive
162,Luke Ellison,BCBA,Healthcare,14.1,1677,0.35,Inactive
163,Felicity Miller,Actuary,Healthcare,16.3,797,0.57,Active
164,Neil Greene,AI Architect,Legal,20.5,1370,0.18,Inactive
165,Kimberly MacLeod,Category Manager,Design,16.9,1377,0.51,Active
166,Kevin Jones,Staff Accountant,Logistics,21.6,376,0.41,Inactive
167,Amelia Russell,Account Officer,Healthcare,9.9,205,0.32,Active
168,Lillian Knox,Assistant Manager,Marketing,23.1,1569,0.33,Active
169,Gabrielle Baker,Hydrologist,Real estate,21.4,1084,0.3,Inactive
170,Pippa Poole,Medical Director,Accounting,11.7,949,0.22,Inactive
171,Peter Clark,Mechanical Engineer,Law enforcement / Security,15.0,720,0.23,Inactive
172,Ryan May,Kindergarten Teacher,Finance,24.2,1413,0.13,Active
173,Jessica Buckland,Office Assistant,Production,9.4,1153,0.4,Active
174,Phil Taylor,PHP Developer,Human Resources (HR),5.6,193,0.15,Inactive
175,Edward Bower,Retail HR Manager,IT and Development,15.4,1532,0.13,Active
176,Nicholas Vance,Appointment Setter,Sales,13.4,700,0.4,Active
177,Kylie Dowd,Sales Associate,IT and Development,17.3,1008,0.5,Inactive
178,Joan Marshall,Child Life Specialist,Customer service,17.0,379,0.41,Inactive
179,Donna Poole,Game Warden,IT and Development,24.5,1058,0.44,Active
180,Diana Miller,Support Specialist,Administrative,24.1,302,0.59,Active
181,Donna Harris,Hotel Front Desk Agent,Administrative,5.9,523,0.26,Active
182,Rose Chapman,Social Media Copywriter,Administrative,16.4,1166,0.25,Inactive
183,Alexandra Powell,Employee Relations,Finance,12.3,592,0.44,Active
184,Jasmine Jones,Coroner,Media,14.1,217,0.55,Active
185,Abigail Mitchell,Medical Secretary,Public Relations (PR),5.8,1395,0.42,Active
186,Alexandra Nash,Financial Analyst,Legal,9.7,827,0.52,Active
187,Jake Hemmings,Intake Specialist,Accounting,17.7,1500,0.22,Active
188,Jasmine MacLeod,Sales Development Manager,Facilities,13.9,1798,0.26,Inactive
189,Jacob Simpson,Promoter,Facilities,12.2,698,0.34,Inactive
190,Stephen Ball,Ophthalmologist,Healthcare,23.5,935,0.27,Inactive
191,Dorothy Hunter,Greeter,Administrative,12.8,1345,0.38,Inactive
192,Adrian McLean,Junior IT Administrator,Accounting,21.6,1118,0.37,Inactive
193,Samantha Lewis,Teacher,Administrative,11.3,826,0.55,Active
194,Claire Gibson,Call Center Representative,Hospitality,16.1,1597,0.4,Inactive
195,Carol Lewis,Director of Content Marketing,Retail,9.7,106,0.53,Active
196,Yvonne Davies,Leasing Consultant,Public Relations (PR),10.9,854,0.56,Inactive
197,Colin North,Web Programmer,Hospitality,10.0,1579,0.32,Active
198,Kevin Langdon,Makeup Artist,Accounting,21.7,535,0.34,Active
199,Fiona Mills,General Laborer,Corporate training,18.5,999,0.49,Active
200,Nicola Thomson,Restaurant HR Manager,Design,21.7,606,0.19,Inactive
201,Joan Wright,Line Cook,IT and Development,19.4,1187,0.43,Active
202,Angela Morrison,Veterinarian,Finance,18.5,213,0.56,Inactive
203,Joe Clark,Talent Scout,Real estate,13.2,141,0.6,Inactive
204,Amanda Simpson,CRM Director,Design,14.1,439,0.15,Active
205,Jacob Marshall,Portfolio Manager,Customer service,24.0,1810,0.6,Active
206,Sonia Fraser,HR Administrative Assistant,Finance,20.6,1765,0.5,Active
207,Joan Parr,School Bus Driver,Facilities,5.9,1916,0.41,Active
208,Victor Parr,Beauty Salon Manager,Customer service,20.0,611,0.18,Inactive
209,Joseph Coleman,Product Marketing Manager,Hospitality,6.2,515,0.21,Inactive
210,Melanie Bower,Documentation Specialist,Legal,17.1,1272,0.21,Active
211,Charles Wilson,Junior Account Manager,Corporate training,12.4,383,0.24,Active
212,Nicola Burgess,CRM Specialist,Facilities,5.5,1358,0.18,Inactive
213,Dan Parr,Communications Director,Customer service,22.0,1191,0.56,Active
214,Emily Hill,School Psychologist,Public Relations (PR),18.0,924,0.29,Active
215,Rachel Powell,Fundraiser,Retail,15.9,392,0.34,Inactive
216,Amy Hunter,Program Administrator,Design,16.6,857,0.22,Active
217,Christian Mathis,Head of Finance,Sales,18.1,1333,0.55,Inactive
218,Trevor Ellison,Software Developer,Design,14.6,1391,0.14,Active
219,Julian Wilson,Supply Chain Manager,Real estate,8.0,1579,0.52,Inactive
220,Michelle Randall,Social Media Coordinator,Real estate,18.3,1495,0.41,Inactive
221,Keith Springer,Restaurant Server,Real estate,19.8,831,0.54,Active
222,Michelle Cornish,Operations Associate,Production,12.7,1703,0.16,Active
223,Ian Terry,Operations Engineer,IT and Development,20.9,598,0.43,Inactive
224,Stewart Smith,PR Executive,Production,10.2,624,0.36,Inactive
225,Mary Pullman,Legal,Media,5.6,1098,0.22,Inactive
226,Karen Johnston,Marketing Communications Specialist,Hospitality,14.2,1629,0.46,Inactive
227,Lucas Ferguson,Product Designer,Corporate training,8.9,1842,0.27,Active
228,Charles Skinner,HR Operations Manager,Customer service,18.4,290,0.25,Inactive
229,Theresa Forsyth,Travel Nurse,Media,13.2,141,0.39,Active
230,Vanessa Mackay,Duty Clerk,Pharmaceuticals,16.4,161,0.49,Inactive
231,Kylie Avery,Data Entry Operator,Human Resources (HR),20.2,1855,0.46,Active
232,Olivia Cornish,Data Annotator,Logistics,5.9,1653,0.54,Inactive
233,Nathan Robertson,Property Manager,Healthcare,14.0,389,0.42,Inactive
234,Phil Manning,Analytics Manager,Human Resources (HR),8.4,624,0.56,Active
235,Liam Piper,IT Help Desk Technician,Production,11.8,1086,0.2,Inactive
236,Nicola Ferguson,Category Manager,Finance,13.8,1146,0.31,Inactive
237,Yvonne Smith,Mental Health Therapist,Sales,22.6,846,0.41,Active
238,Dorothy Ross,Referral Coordinator,Design,20.5,1107,0.39,Inactive
239,Colin Vaughan,Marketing Assistant,Engineering,12.2,1595,0.6,Active
240,Andrea Greene,Daycare Teacher,Hospitality,11.2,597,0.5,Inactive
241,Christian Arnold,Fulfillment,Retail,20.3,1348,0.17,Inactive
242,Sam Miller,Senior Accountant,Accounting,17.7,914,0.33,Inactive
243,Melanie Rampling,Hair Stylist,Human Resources (HR),10.3,1485,0.32,Inactive
244,Jonathan Taylor,Purchasing Officer,Educator & Education,5.2,617,0.22,Active
245,Ian Wallace,Front Office Manager,Retail,6.5,306,0.18,Inactive
246,Peter Gibson,Hotel Concierge,Facilities,9.0,375,0.42,Active
247,Chloe Wilson,Aerospace Engineer,Engineering,8.9,444,0.19,Inactive
248,Deirdre Murray,Media Assistant,Accounting,8.3,1833,0.35,Active
249,John Skinner,Unit Clerk,Customer service,20.8,1971,0.29,Inactive
250,Keith Gibson,Camp Counselor,Construction,19.7,1787,0.41,Active
251,Christian Wallace,Executive Administrative Assistant,Real estate,19.7,1585,0.57,Inactive
252,Harry Morrison,Guest Relation Officer,Finance,20.3,1036,0.45,Active
253,Adam Alsop,Public Relations Specialist,Legal,8.7,535,0.26,Inactive
254,Olivia Lyman,Food Expeditor,Human Resources (HR),24.1,1720,0.49,Active
255,Robert Underwood,Mail Processor,Hospitality,9.0,144,0.3,Active
256,Jason Russell,Visual Designer,Accounting,24.6,1780,0.5,Active
257,Kevin Randall,Aerospace Engineer,Travel & Tourism,20.5,370,0.55,Active
258,James James,Digital Director,Real estate,8.2,348,0.56,Active
259,Madeleine Tucker,Asset Manager,Pharmaceuticals,6.8,1184,0.45,Active
260,Jennifer Alsop,Fulfillment,Real estate,22.6,588,0.33,Active
261,Amy Bower,Neonatology,Travel & Tourism,13.1,1656,0.47,Inactive
262,Benjamin Johnston,Insurance Sales Representative,Marketing,24.3,912,0.23,Inactive
263,Gabrielle Marshall,Grant Writer,Law enforcement / Security,11.4,607,0.13,Inactive
264,Adam Turner,Leasing Consultant,Design,9.0,546,0.22,Active
265,Alexandra Ross,PHP Developer,Finance,22.5,359,0.53,Active
266,James Clark,Refrigeration Appliance Repair Service Technician,Media,18.0,182,0.56,Active
267,James Ross,Forklift Operator,Travel & Tourism,18.4,1700,0.46,Inactive
268,Caroline Nash,Dental Hygienist,Customer service,16.4,1149,0.43,Inactive
269,James Gray,Back-end Developer,Corporate training,22.3,1643,0.28,Active
270,Liam Hardacre,Lead Product Marketing Writer,Corporate training,24.1,171,0.44,Inactive
271,Harry Poole,Millwright,Marketing,8.3,1451,0.32,Inactive
272,Hannah James,Recruiting Coordinator,Hospitality,21.7,517,0.33,Active
273,Blake Sutherland,UX Researcher,Marketing,7.5,750,0.19,Active
274,Neil Bell,HR Recruiter,Public Relations (PR),18.4,658,0.28,Active
275,Christian Ince,School Counselor,Legal,24.2,1430,0.53,Inactive
276,Trevor Peake,Safety Officer,Production,6.7,1456,0.39,Active
277,Deirdre Walsh,Accounting Clerk,Travel & Tourism,16.3,1085,0.55,Inactive
278,Luke Kelly,Market Research Analyst,Real estate,12.4,1063,0.35,Active
279,Adrian Lyman,Hotel Manager,Accounting,6.3,1006,0.39,Inactive
280,Carol Alsop,Surveyor,Travel & Tourism,20.2,1749,0.31,Active
281,Natalie Hamilton,Mobile Developer,Legal,16.5,246,0.34,Inactive
282,Peter Hodges,Production Manager,Design,6.0,1358,0.57,Inactive
283,Alan Kelly,Physical Product Designer,Customer service,8.9,1257,0.45,Inactive
284,Lillian Parr,Administration Manager,Marketing,19.9,544,0.37,Inactive
285,Dan Robertson,Forensic Pathologist,Corporate training,11.3,944,0.28,Inactive
286,Joan Sutherland,Kitchen Porter,Real estate,17.0,1434,0.21,Inactive
287,Alexander Short,Daycare Teacher,Facilities,19.2,580,0.39,Active
288,Alexander Scott,Corporate Trainer,Logistics,15.8,1220,0.48,Inactive
289,Melanie Duncan,Documentation Specialist,Public Relations (PR),14.7,626,0.17,Active
290,Piers Morgan,Athletic Director,Facilities,13.3,1989,0.37,Inactive
291,Ruth Peake,Physicist,Media,23.9,254,0.34,Inactive
292,Jan White,Attorney General,Administrative,14.9,1946,0.43,Inactive
293,Andrew Gill,Business Development Intern,Human Resources (HR),21.4,905,0.26,Inactive
294,Molly Churchill,Chef,Accounting,7.8,1106,0.57,Active
295,Jasmine Vance,Medical Records Clerk,Human Resources (HR),15.8,1083,0.24,Inactive
296,Alison Springer,Account Officer,Facilities,20.9,202,0.59,Active
297,Justin Peters,Cloud Architect,Public Relations (PR),10.5,1906,0.33,Active
298,Emma Dickens,Hotel Front Desk Agent,Logistics,7.8,744,0.35,Inactive
299,Brandon Hart,Petroleum Engineer,Media,15.2,542,0.16,Inactive
300,Sebastian Poole,Appliance Service Technician,Real estate,9.7,1892,0.58,Active
301,Natalie Marshall,Sales Director,Healthcare,20.8,574,0.58,Inactive
302,Andrea Burgess,UX Researcher,Travel & Tourism,19.1,841,0.25,Active
303,Richard Parr,Finance Officer,Law enforcement / Security,16.9,1839,0.32,Active
304,Leonard Coleman,Electronic technician,Healthcare,10.3,343,0.42,Active
305,Abigail Dickens,Retail Buyer,Administrative,10.0,494,0.45,Active
306,Julia Robertson,Event Planner,Finance,13.6,1379,0.36,Active
307,Ryan Peters,Inbound Marketing Manager,Human Resources (HR),5.8,1745,0.28,Active
308,Jack Lewis,UI Engineer,Human Resources (HR),7.1,262,0.44,Active
309,Christian Hill,Diversity and Inclusion Manager,Pharmaceuticals,21.0,173,0.13,Inactive
310,Andrew Ince,Director,Law enforcement / Security,23.5,1200,0.32,Active
311,Kevin Clark,Movie Makeup Artist,Logistics,14.8,623,0.45,Active
312,Fiona Wilkins,HR Analyst,Customer service,23.4,1105,0.16,Inactive
313,Ruth Mackenzie,Deputy Sheriff,Accounting,25.0,1251,0.23,Active
314,Nathan MacDonald,Overnight Stocker,Retail,22.0,751,0.36,Inactive
315,Natalie Gibson,Copy Editor,Corporate training,8.2,1144,0.43,Inactive
316,Dan Kerr,Senior Account Executive,Legal,7.8,1065,0.56,Inactive
317,Deirdre Abraham,Virtual Assistant,Healthcare,14.6,1762,0.22,Active
318,Sonia Grant,Retail Stylist,Hospitality,11.3,717,0.15,Active
319,Mary Lyman,Fundraiser,Administrative,15.7,766,0.38,Inactive
320,Rebecca McGrath,AI Architect,Legal,16.4,686,0.57,Active
321,Rose Murray,BCBA,Hospitality,20.4,932,0.21,Inactive
322,Sonia Clarkson,File Clerk,Media,17.8,790,0.37,Inactive
323,Jonathan Alsop,AI Architect,Sales,9.7,174,0.35,Inactive
324,Oliver Hardacre,Safety Coordinator,Hospitality,16.1,289,0.11,Inactive
325,Faith Ferguson,Accounts Administrator,Customer service,6.3,383,0.24,Active
326,Leonard Walker,Master grower,Customer service,22.4,1056,0.11,Inactive
327,Matt Mathis,Insurance Broker,Corporate training,22.8,1025,0.21,Active
328,Madeleine Reid,HR Advisor,Legal,11.4,554,0.56,Inactive
329,Penelope McDonald,IT Manager,Sales,16.3,1651,0.18,Inactive
330,Sally McLean,Cafe Manager,Educator & Education,11.2,1615,0.19,Inactive
331,Nicola Piper,Behavior Analyst,Accounting,22.4,699,0.42,Inactive
332,Austin Sharp,Operations Associate,Travel & Tourism,19.8,1593,0.38,Inactive
333,Theresa Davies,Warehouse Worker,Production,13.9,1341,0.17,Active
334,David Roberts,Call Center Manager,Customer service,6.3,740,0.42,Active
335,Jasmine Simpson,Inside Sales Representative,Logistics,22.6,103,0.59,Active
336,Carolyn Sharp,Grant Writer,Facilities,8.2,1015,0.56,Active
337,Michael May,Administrative officer,IT and Development,11.3,1121,0.13,Inactive
338,Rachel Greene,HR & Admin Officer,Hospitality,8.3,1750,0.5,Active
339,Amelia Black,Production Planner,Educator & Education,7.8,1594,0.14,Active
340,Nicola MacDonald,IT Operations Manager,Educator & Education,6.8,1474,0.39,Inactive
341,Gabrielle Watson,Academic Advisor,Public Relations (PR),20.8,217,0.14,Active
342,Nicola Vaughan,Porter,Media,17.4,1796,0.25,Inactive
343,Katherine Burgess,External Auditor,Production,20.8,283,0.48,Active
344,Colin Sutherland,HR Administrative Assistant,Educator & Education,6.2,1927,0.14,Active
345,Andrew Lawrence,Daycare Teacher,Retail,12.8,632,0.16,Active
346,Karen Hill,Retail Trainer,Travel & Tourism,14.4,1435,0.49,Active
347,Stewart Howard,Coroner,Customer service,13.4,1401,0.52,Active
348,Gavin North,Billing Specialist,Pharmaceuticals,7.5,1908,0.35,Inactive
349,Owen Bailey,Warehouse Manager,Travel & Tourism,11.4,2000,0.36,Inactive
350,Jasmine Taylor,Restaurant Server,Corporate training,24.1,296,0.22,Active
351,Diana Piper,Engineering Technician,Finance,9.0,148,0.55,Active
352,Yvonne North,Illustrator,Human Resources (HR),9.7,378,0.51,Inactive
353,Trevor Wright,Manager of Quality Assurance,Logistics,15.5,1279,0.38,Inactive
354,Tim Quinn,Manager of Sales Enablement,Administrative,22.4,539,0.21,Active
355,Jack Powell,HRIS Manager,Facilities,5.9,1324,0.33,Active
356,Audrey Stewart,Customer Education Specialist,Real estate,9.5,1109,0.52,Inactive
357,James Fraser,Sales Director,Logistics,20.9,855,0.37,Inactive
358,Warren Hughes,Data Annotator,Marketing,23.1,1715,0.12,Inactive
359,Andrea Dowd,Pediatrician,Pharmaceuticals,22.9,1541,0.53,Inactive
360,Jason Hill,Production Coordinator,Human Resources (HR),5.5,672,0.5,Active
